"Sample","chr1R","chr2R","chr3R","chr4R","chr5R","chr6R","chr7R","chrB","mean_A_cov","ratio_B_cov"
"3073325_NPK_22_B_164_S430_L002_R1_001",0.142042,0.136541,0.118198,0.15189,0.150537,0.168424,0.13894,0.00354163,0.143796,0.0246295446326741
"3073326_NPK_22_B_176_S441_L002_R1_001",0.277609,0.294344,0.261755,0.323339,0.324093,0.351714,0.288171,0.00691614,0.303003571428571,0.0228252755153758
"3073327_NPK_22_B_188_S452_L002_R1_001",0.279647,0.281597,0.272721,0.338054,0.295731,0.327816,0.286413,0.00686354,0.297425571428571,0.0230764959684992
"3073328_NPK_22_B_101_S372_L002_R1_001",0.287777,0.270282,0.267792,0.318031,0.296129,0.321257,0.291191,0.00785648,0.293208428571429,0.0267948641117801
"3073329_NPK_22_B_115_S384_L002_R1_001",0.321205,0.306543,0.297069,0.358545,0.308476,0.364418,0.318838,0.00823634,0.325013428571429,0.025341537536471
"3073330_NPK_22_B_128_S396_L002_R1_001",0.33158,0.342795,0.341934,0.377112,0.351252,0.403885,0.36079,0.00880031,0.358478285714286,0.0245490741021174
"3073331_NPK_22_B_140_S408_L002_R1_001",0.300777,0.285778,0.2655,0.331273,0.295374,0.346516,0.291951,0.00737118,0.302452714285714,0.0243713468315472
"3073332_NPK_22_B_153_S419_L002_R1_001",0.226359,0.216714,0.199926,0.250584,0.225008,0.261229,0.2235,0.00619972,0.229045714285714,0.0270676097098521
"3073333_NPK_22_A_165_S431_L002_R1_001",0.336407,0.316576,0.310657,0.370654,0.319337,0.363725,0.344562,0.00830035,0.337416857142857,0.0245996897436744
"3073334_NPK_22_B_177_S442_L002_R1_001",0.320308,0.307051,0.295272,0.344773,0.306007,0.341659,0.313138,0.00778246,0.318315428571429,0.0244488934605746
"3073335_NPK_22_B_189_S453_L002_R1_001",0.278313,0.267396,0.250737,0.302737,0.272396,0.315136,0.266456,0.00684934,0.279024428571429,0.0245474564183064
"3073336_NPK_22_B_102_S373_L002_R1_001",0.323394,0.312443,0.282641,0.34264,0.330382,0.356491,0.329601,0.00776384,0.325370285714286,0.0238615520251213
"3073337_NPK_22_B_116_S385_L002_R1_001",0.344576,0.355808,0.368526,0.40565,0.359813,0.405817,0.353703,0.00864343,0.370556142857143,0.0233255612317085
"3073338_NPK_22_B_129_S397_L002_R1_001",0.367347,0.36519,0.340589,0.402659,0.370116,0.429516,0.392893,0.00872583,0.381187142857143,0.0228911970498181
"3073339_NPK_22_B_141_S409_L002_R1_001",0.22621,0.213905,0.196567,0.254061,0.22757,0.258597,0.224089,0.00525077,0.228714142857143,0.0229577844833132
"3073340_NPK_22_B_154_S420_L002_R1_001",0.289862,0.296702,0.283849,0.333865,0.304908,0.341806,0.293771,0.00742378,0.306394714285714,0.024229464980513
"3073341_NPK_22_A_166_S432_L002_R1_001",0.197678,0.191057,0.181203,0.217615,0.202073,0.229923,0.191164,0.00568951,0.201530428571429,0.0282315183882193
"3073342_NPK_22_B_178_S443_L002_R1_001",0.372875,0.378587,0.374938,0.395679,0.366414,0.441667,0.367768,0.00891855,0.385418285714286,0.0231399244160704
"3073343_NPK_22_A_190_S454_L002_R1_001",0.346096,0.336099,0.318968,0.372702,0.344887,0.389167,0.348851,0.00905308,0.350967142857143,0.0257946653532891
"3073344_NPK_22_B_105_S374_L002_R1_001",0.395729,0.359299,0.359625,0.411728,0.364305,0.416288,0.371526,0.00841161,0.382642857142857,0.021982927011387
"3073345_NPK_22_B_117_S386_L002_R1_001",0.300194,0.289891,0.2751,0.318612,0.290056,0.339314,0.291121,0.00811856,0.300612571428571,0.027006721513405
"3073346_NPK_22_B_130_S398_L002_R1_001",0.337787,0.328682,0.320501,0.391812,0.344811,0.392475,0.349608,0.00952023,0.352239428571429,0.0270277238371952
"3073347_NPK_22_B_142_S410_L002_R1_001",0.200621,0.194266,0.180493,0.225431,0.202698,0.230784,0.208789,0.00498705,0.206154571428571,0.0241908290727762
"3073348_NPK_22_B_155_S421_L002_R1_001",0.272436,0.242124,0.252632,0.291369,0.255909,0.292384,0.271249,0.00601025,0.268300428571429,0.0224011941837056
"3073349_NPK_22_B_167_S433_L002_R1_001",0.377372,0.374774,0.329895,0.408203,0.365759,0.435657,0.381691,0.0083611,0.381907285714286,0.0218930099339743
"3073350_NPK_22_B_179_S444_L002_R1_001",0.252433,0.240484,0.221436,0.27755,0.251344,0.283514,0.260539,0.00604191,0.255328571428571,0.0236632742124993
"3073351_NPK_22_B_191_S455_L002_R1_001",0.356713,0.356548,0.322482,0.391471,0.346904,0.39801,0.36725,0.0084279,0.362768285714286,0.0232321852044083
"3073352_NPK_22_B_106_S375_L002_R1_001",0.352233,0.360098,0.33859,0.397309,0.368813,0.429318,0.349824,0.00893275,0.370883571428571,0.0240850517201201
"3073353_NPK_22_B_118_S387_L002_R1_001",0.397231,0.409746,0.40583,0.446323,0.414579,0.475874,0.403632,0.010249,0.421887857142857,0.0242931855621755
"3073354_NPK_22_B_131_S399_L002_R1_001",0.356051,0.361593,0.37002,0.418075,0.376077,0.415835,0.378768,0.00898442,0.382345571428571,0.0234981667668627
"3073355_NPK_22_B_143_S411_L002_R1_001",0.286972,0.278631,0.275283,0.317067,0.285662,0.322839,0.294565,0.00768517,0.294431285714286,0.0261017438461266
"3073356_NPK_22_B_156_S422_L002_R1_001",0.356485,0.339949,0.34139,0.391751,0.351773,0.401988,0.35108,0.00791048,0.362059428571429,0.0218485678752028
"3073357_NPK_22_B_168_S434_L002_R1_001",0.332985,0.320456,0.311499,0.367136,0.332931,0.391998,0.335678,0.00836459,0.341811857142857,0.0244713277939451
"3073358_NPK_22_B_180_S445_L002_R1_001",0.336128,0.334491,0.298976,0.368714,0.336348,0.40433,0.340968,0.00876609,0.345707857142857,0.0253569301908507
"3073359_NPK_22_B_192_S456_L002_R1_001",0.295153,0.291319,0.284747,0.334503,0.306979,0.344707,0.306398,0.00736234,0.309115142857143,0.0238174679245736
"3073360_NPK_22_B_107_S376_L002_R1_001",0.298864,0.299278,0.287139,0.351175,0.306039,0.346865,0.298753,0.00822633,0.312587571428571,0.0263168812579606
"3073361_NPK_22_B_119_S388_L002_R1_001",0.335911,0.3275,0.311364,0.370646,0.330425,0.379796,0.343474,0.00952023,0.342730857142857,0.0277775689045465
"3073362_NPK_22_B_132_S400_L002_R1_001",0.286636,0.296632,0.289567,0.339727,0.303278,0.343054,0.304766,0.00752643,0.309094285714286,0.0243499486980394
"3073363_NPK_22_B_144_S412_L002_R1_001",0.181665,0.178483,0.164871,0.202371,0.188226,0.217456,0.186867,0.00511693,0.188562714285714,0.0271364888831984
"3073364_NPK_22_B_157_S423_L002_R1_001",0.3568,0.361469,0.337151,0.397318,0.362719,0.419159,0.36705,0.0091413,0.371666571428571,0.0245954323114497
"3073365_NPK_22_A_169_S435_L002_R1_001",0.350771,0.338227,0.321873,0.386142,0.352824,0.393991,0.378214,0.00865344,0.360291714285714,0.0240178712329136
"3073366_NPK_22_B_181_S446_L002_R1_001",0.315088,0.315195,0.287252,0.360736,0.331769,0.37277,0.329691,0.00868416,0.330357285714286,0.0262871756595997
"3073367_NPK_22_B_151_S457_L002_R1_001",0.410092,0.41313,0.424238,0.466255,0.415837,0.483186,0.457945,0.00892833,0.438669,0.0203532276044124
"3073368_NPK_22_A_108_S377_L002_R1_001",0.359071,0.32998,0.315761,0.380429,0.340522,0.40757,0.362015,0.00808039,0.356478285714286,0.0226672712583576
"3073369_NPK_22_B_121_S389_L002_R1_001",0.242151,0.238374,0.222463,0.271979,0.246629,0.272543,0.246065,0.00645784,0.248600571428571,0.0259767705395459
"3073370_NPK_22_B_133_S401_L002_R1_001",0.357077,0.334505,0.34141,0.381302,0.33804,0.410439,0.329587,0.00783227,0.356051428571429,0.021997580606333
"3073371_NPK_22_B_145_S413_L002_R1_001",0.353864,0.33872,0.334453,0.388263,0.351435,0.404201,0.363338,0.00856197,0.362039142857143,0.0236492936438601
"3073372_NPK_22_B_158_S424_L002_R1_001",0.363332,0.357474,0.339417,0.40075,0.356001,0.410141,0.359969,0.00917668,0.369583428571429,0.0248297929251621
"3073373_NPK_22_B_170_S436_L002_R1_001",0.38271,0.371115,0.370201,0.418568,0.386081,0.440616,0.38164,0.00985447,0.392990142857143,0.0250756162186547
"3073374_NPK_22_B_182_S447_L002_R1_001",0.369267,0.347021,0.349105,0.407665,0.366936,0.42295,0.372324,0.0100055,0.376466857142857,0.026577372775748
"3073375_NPK_22_A_173_S458_L002_R1_001",0.30154,0.314024,0.297624,0.342621,0.308951,0.345994,0.324125,0.00795005,0.319268428571429,0.024900833557432
"3073376_NPK_22_B_109_S378_L002_R1_001",0.351038,0.342988,0.321788,0.386512,0.356197,0.397795,0.352809,0.00899978,0.358446714285714,0.0251077207331474
"3073377_NPK_22_B_122_S390_L002_R1_001",0.308569,0.290891,0.283105,0.321934,0.306235,0.336943,0.305616,0.00784647,0.307613285714286,0.0255075783927222
"3073378_NPK_22_A_134_S402_L002_R1_001",0.222396,0.222743,0.210138,0.24606,0.219659,0.256733,0.219148,0.00622183,0.228125285714286,0.0272737411835727
