GO	gene_id
GO:0005515	S.CEREALE.LO7.r2.1RG00001230
GO:0004497	S.CEREALE.LO7.r2.1RG00001250
GO:0005506	S.CEREALE.LO7.r2.1RG00001250
GO:0016705	S.CEREALE.LO7.r2.1RG00001250
GO:0020037	S.CEREALE.LO7.r2.1RG00001250
GO:0004867	S.CEREALE.LO7.r2.1RG00001300
GO:0009611	S.CEREALE.LO7.r2.1RG00001300
GO:0004867	S.CEREALE.LO7.r2.1RG00001330
GO:0009611	S.CEREALE.LO7.r2.1RG00001330
GO:0004867	S.CEREALE.LO7.r2.1RG00001360
GO:0009611	S.CEREALE.LO7.r2.1RG00001360
GO:0004867	S.CEREALE.LO7.r2.1RG00001380
GO:0009611	S.CEREALE.LO7.r2.1RG00001380
GO:0016020	S.CEREALE.LO7.r2.1RG00001420
GO:0016757	S.CEREALE.LO7.r2.1RG00001420
GO:0016020	S.CEREALE.LO7.r2.1RG00001440
GO:0055085	S.CEREALE.LO7.r2.1RG00001440
GO:0004867	S.CEREALE.LO7.r2.1RG00001450
GO:0005576	S.CEREALE.LO7.r2.1RG00001450
GO:0043531	S.CEREALE.LO7.r2.1RG00001460
GO:0016791	S.CEREALE.LO7.r2.1RG00001490
GO:0008194	S.CEREALE.LO7.r2.1RG00001500
GO:0046872	S.CEREALE.LO7.r2.1RG00001560
GO:0015031	S.CEREALE.LO7.r2.1RG00001570
GO:0004497	S.CEREALE.LO7.r2.1RG00001590
GO:0005506	S.CEREALE.LO7.r2.1RG00001590
GO:0016705	S.CEREALE.LO7.r2.1RG00001590
GO:0020037	S.CEREALE.LO7.r2.1RG00001590
GO:0004497	S.CEREALE.LO7.r2.1RG00001610
GO:0005506	S.CEREALE.LO7.r2.1RG00001610
GO:0016705	S.CEREALE.LO7.r2.1RG00001610
GO:0020037	S.CEREALE.LO7.r2.1RG00001610
GO:0004497	S.CEREALE.LO7.r2.1RG00001660
GO:0005506	S.CEREALE.LO7.r2.1RG00001660
GO:0016705	S.CEREALE.LO7.r2.1RG00001660
GO:0020037	S.CEREALE.LO7.r2.1RG00001660
GO:0016020	S.CEREALE.LO7.r2.1RG00001680
GO:0004185	S.CEREALE.LO7.r2.1RG00001690
GO:0006508	S.CEREALE.LO7.r2.1RG00001690
GO:0008194	S.CEREALE.LO7.r2.1RG00001710
GO:0008194	S.CEREALE.LO7.r2.1RG00001720
GO:0008194	S.CEREALE.LO7.r2.1RG00001730
GO:0003676	S.CEREALE.LO7.r2.1RG00001740
GO:0006139	S.CEREALE.LO7.r2.1RG00001740
GO:0008408	S.CEREALE.LO7.r2.1RG00001740
GO:0005515	S.CEREALE.LO7.r2.1RG00001750
GO:0003868	S.CEREALE.LO7.r2.1RG00001760
GO:0009072	S.CEREALE.LO7.r2.1RG00001760
GO:0016701	S.CEREALE.LO7.r2.1RG00001760
GO:0016020	S.CEREALE.LO7.r2.1RG00001770
GO:0008194	S.CEREALE.LO7.r2.1RG00001780
GO:0008194	S.CEREALE.LO7.r2.1RG00001790
GO:0008194	S.CEREALE.LO7.r2.1RG00001810
GO:0008194	S.CEREALE.LO7.r2.1RG00001820
GO:0008194	S.CEREALE.LO7.r2.1RG00001850
GO:0008194	S.CEREALE.LO7.r2.1RG00001860
GO:0008194	S.CEREALE.LO7.r2.1RG00001900
GO:0008194	S.CEREALE.LO7.r2.1RG00001910
GO:0008194	S.CEREALE.LO7.r2.1RG00001940
GO:0008194	S.CEREALE.LO7.r2.1RG00001950
GO:0008194	S.CEREALE.LO7.r2.1RG00001980
GO:0006508	S.CEREALE.LO7.r2.1RG00002000
GO:0008234	S.CEREALE.LO7.r2.1RG00002000
GO:0003677	S.CEREALE.LO7.r2.1RG00002020
GO:0046983	S.CEREALE.LO7.r2.1RG00002020
GO:0005515	S.CEREALE.LO7.r2.1RG00002030
GO:0015078	S.CEREALE.LO7.r2.1RG00002040
GO:0033177	S.CEREALE.LO7.r2.1RG00002040
GO:1902600	S.CEREALE.LO7.r2.1RG00002040
GO:0033179	S.CEREALE.LO7.r2.1RG00002040
GO:0046961	S.CEREALE.LO7.r2.1RG00002040
GO:0016740	S.CEREALE.LO7.r2.1RG00002070
GO:0030247	S.CEREALE.LO7.r2.1RG00002080
GO:0004672	S.CEREALE.LO7.r2.1RG00002080
GO:0005524	S.CEREALE.LO7.r2.1RG00002080
GO:0006468	S.CEREALE.LO7.r2.1RG00002080
GO:0004672	S.CEREALE.LO7.r2.1RG00002090
GO:0005524	S.CEREALE.LO7.r2.1RG00002090
GO:0006468	S.CEREALE.LO7.r2.1RG00002090
GO:0016740	S.CEREALE.LO7.r2.1RG00002160
GO:0030247	S.CEREALE.LO7.r2.1RG00002170
GO:0004672	S.CEREALE.LO7.r2.1RG00002170
GO:0005524	S.CEREALE.LO7.r2.1RG00002170
GO:0006468	S.CEREALE.LO7.r2.1RG00002170
GO:0004672	S.CEREALE.LO7.r2.1RG00002180
GO:0005524	S.CEREALE.LO7.r2.1RG00002180
GO:0006468	S.CEREALE.LO7.r2.1RG00002180
GO:0043531	S.CEREALE.LO7.r2.1RG00002190
GO:0003676	S.CEREALE.LO7.r2.1RG00002200
GO:0008270	S.CEREALE.LO7.r2.1RG00002200
GO:0048544	S.CEREALE.LO7.r2.1RG00002210
GO:0016740	S.CEREALE.LO7.r2.1RG00002240
GO:0030247	S.CEREALE.LO7.r2.1RG00002250
GO:0004672	S.CEREALE.LO7.r2.1RG00002250
GO:0005524	S.CEREALE.LO7.r2.1RG00002250
GO:0006468	S.CEREALE.LO7.r2.1RG00002250
GO:0030247	S.CEREALE.LO7.r2.1RG00002260
GO:0004672	S.CEREALE.LO7.r2.1RG00002260
GO:0005524	S.CEREALE.LO7.r2.1RG00002260
GO:0006468	S.CEREALE.LO7.r2.1RG00002260
GO:0048544	S.CEREALE.LO7.r2.1RG00002270
GO:0016740	S.CEREALE.LO7.r2.1RG00002280
GO:0030247	S.CEREALE.LO7.r2.1RG00002290
GO:0004672	S.CEREALE.LO7.r2.1RG00002290
GO:0005524	S.CEREALE.LO7.r2.1RG00002290
GO:0006468	S.CEREALE.LO7.r2.1RG00002290
GO:0030247	S.CEREALE.LO7.r2.1RG00002300
GO:0004672	S.CEREALE.LO7.r2.1RG00002300
GO:0005524	S.CEREALE.LO7.r2.1RG00002300
GO:0006468	S.CEREALE.LO7.r2.1RG00002300
GO:0004672	S.CEREALE.LO7.r2.1RG00002310
GO:0005524	S.CEREALE.LO7.r2.1RG00002310
GO:0006468	S.CEREALE.LO7.r2.1RG00002310
GO:0048544	S.CEREALE.LO7.r2.1RG00002310
GO:0043531	S.CEREALE.LO7.r2.1RG00002380
GO:0030247	S.CEREALE.LO7.r2.1RG00002390
GO:0005509	S.CEREALE.LO7.r2.1RG00002390
GO:0004672	S.CEREALE.LO7.r2.1RG00002390
GO:0006468	S.CEREALE.LO7.r2.1RG00002390
GO:0046983	S.CEREALE.LO7.r2.1RG00002410
GO:0043531	S.CEREALE.LO7.r2.1RG00002440
GO:0030247	S.CEREALE.LO7.r2.1RG00002450
GO:0004672	S.CEREALE.LO7.r2.1RG00002450
GO:0006468	S.CEREALE.LO7.r2.1RG00002450
GO:0046983	S.CEREALE.LO7.r2.1RG00002470
GO:0004497	S.CEREALE.LO7.r2.1RG00002510
GO:0005506	S.CEREALE.LO7.r2.1RG00002510
GO:0016705	S.CEREALE.LO7.r2.1RG00002510
GO:0020037	S.CEREALE.LO7.r2.1RG00002510
GO:0008757	S.CEREALE.LO7.r2.1RG00002520
GO:0046983	S.CEREALE.LO7.r2.1RG00002520
GO:0008171	S.CEREALE.LO7.r2.1RG00002520
GO:0043531	S.CEREALE.LO7.r2.1RG00002560
GO:0004674	S.CEREALE.LO7.r2.1RG00002570
GO:0016020	S.CEREALE.LO7.r2.1RG00002570
GO:0004672	S.CEREALE.LO7.r2.1RG00002570
GO:0005524	S.CEREALE.LO7.r2.1RG00002570
GO:0006468	S.CEREALE.LO7.r2.1RG00002570
GO:0030247	S.CEREALE.LO7.r2.1RG00002570
GO:0030247	S.CEREALE.LO7.r2.1RG00002580
GO:0005509	S.CEREALE.LO7.r2.1RG00002580
GO:0004672	S.CEREALE.LO7.r2.1RG00002580
GO:0005524	S.CEREALE.LO7.r2.1RG00002580
GO:0006468	S.CEREALE.LO7.r2.1RG00002580
GO:0030247	S.CEREALE.LO7.r2.1RG00002590
GO:0005509	S.CEREALE.LO7.r2.1RG00002590
GO:0004672	S.CEREALE.LO7.r2.1RG00002590
GO:0005524	S.CEREALE.LO7.r2.1RG00002590
GO:0006468	S.CEREALE.LO7.r2.1RG00002590
GO:0043531	S.CEREALE.LO7.r2.1RG00002610
GO:0030247	S.CEREALE.LO7.r2.1RG00002620
GO:0004672	S.CEREALE.LO7.r2.1RG00002620
GO:0005524	S.CEREALE.LO7.r2.1RG00002620
GO:0006468	S.CEREALE.LO7.r2.1RG00002620
GO:0003676	S.CEREALE.LO7.r2.1RG00002640
GO:0003723	S.CEREALE.LO7.r2.1RG00002640
GO:0030247	S.CEREALE.LO7.r2.1RG00002690
GO:0004674	S.CEREALE.LO7.r2.1RG00002690
GO:0016020	S.CEREALE.LO7.r2.1RG00002690
GO:0004672	S.CEREALE.LO7.r2.1RG00002690
GO:0005524	S.CEREALE.LO7.r2.1RG00002690
GO:0006468	S.CEREALE.LO7.r2.1RG00002690
GO:0005509	S.CEREALE.LO7.r2.1RG00002690
GO:0030247	S.CEREALE.LO7.r2.1RG00002700
GO:0004672	S.CEREALE.LO7.r2.1RG00002700
GO:0006468	S.CEREALE.LO7.r2.1RG00002700
GO:0043531	S.CEREALE.LO7.r2.1RG00002710
GO:0006508	S.CEREALE.LO7.r2.1RG00002730
GO:0008234	S.CEREALE.LO7.r2.1RG00002730
GO:0043531	S.CEREALE.LO7.r2.1RG00002740
GO:0005515	S.CEREALE.LO7.r2.1RG00002760
GO:0006508	S.CEREALE.LO7.r2.1RG00002770
GO:0008234	S.CEREALE.LO7.r2.1RG00002770
GO:0005515	S.CEREALE.LO7.r2.1RG00002780
GO:0006508	S.CEREALE.LO7.r2.1RG00002800
GO:0008234	S.CEREALE.LO7.r2.1RG00002800
GO:0004672	S.CEREALE.LO7.r2.1RG00002820
GO:0005524	S.CEREALE.LO7.r2.1RG00002820
GO:0006468	S.CEREALE.LO7.r2.1RG00002820
GO:0048544	S.CEREALE.LO7.r2.1RG00002820
GO:0004672	S.CEREALE.LO7.r2.1RG00002830
GO:0005524	S.CEREALE.LO7.r2.1RG00002830
GO:0006468	S.CEREALE.LO7.r2.1RG00002830
GO:0048544	S.CEREALE.LO7.r2.1RG00002830
GO:0010181	S.CEREALE.LO7.r2.1RG00002840
GO:0016491	S.CEREALE.LO7.r2.1RG00002840
GO:0004672	S.CEREALE.LO7.r2.1RG00002860
GO:0005524	S.CEREALE.LO7.r2.1RG00002860
GO:0006468	S.CEREALE.LO7.r2.1RG00002860
GO:0048544	S.CEREALE.LO7.r2.1RG00002860
GO:0004672	S.CEREALE.LO7.r2.1RG00002870
GO:0005524	S.CEREALE.LO7.r2.1RG00002870
GO:0006468	S.CEREALE.LO7.r2.1RG00002870
GO:0048544	S.CEREALE.LO7.r2.1RG00002870
GO:0010181	S.CEREALE.LO7.r2.1RG00002880
GO:0016491	S.CEREALE.LO7.r2.1RG00002880
GO:0004672	S.CEREALE.LO7.r2.1RG00002890
GO:0005524	S.CEREALE.LO7.r2.1RG00002890
GO:0006468	S.CEREALE.LO7.r2.1RG00002890
GO:0048544	S.CEREALE.LO7.r2.1RG00002890
GO:0004672	S.CEREALE.LO7.r2.1RG00002900
GO:0005524	S.CEREALE.LO7.r2.1RG00002900
GO:0006468	S.CEREALE.LO7.r2.1RG00002900
GO:0048544	S.CEREALE.LO7.r2.1RG00002900
GO:0010181	S.CEREALE.LO7.r2.1RG00002910
GO:0016491	S.CEREALE.LO7.r2.1RG00002910
GO:0010181	S.CEREALE.LO7.r2.1RG00002920
GO:0016491	S.CEREALE.LO7.r2.1RG00002920
GO:0005525	S.CEREALE.LO7.r2.1RG00002930
GO:0003924	S.CEREALE.LO7.r2.1RG00002930
GO:0043531	S.CEREALE.LO7.r2.1RG00002940
GO:0006508	S.CEREALE.LO7.r2.1RG00002960
GO:0008234	S.CEREALE.LO7.r2.1RG00002960
GO:0006508	S.CEREALE.LO7.r2.1RG00002970
GO:0008234	S.CEREALE.LO7.r2.1RG00002970
GO:0005525	S.CEREALE.LO7.r2.1RG00002990
GO:0003924	S.CEREALE.LO7.r2.1RG00002990
GO:0010181	S.CEREALE.LO7.r2.1RG00003050
GO:0016491	S.CEREALE.LO7.r2.1RG00003050
GO:0004672	S.CEREALE.LO7.r2.1RG00003060
GO:0005524	S.CEREALE.LO7.r2.1RG00003060
GO:0006468	S.CEREALE.LO7.r2.1RG00003060
GO:0048544	S.CEREALE.LO7.r2.1RG00003060
GO:0004672	S.CEREALE.LO7.r2.1RG00003080
GO:0005524	S.CEREALE.LO7.r2.1RG00003080
GO:0006468	S.CEREALE.LO7.r2.1RG00003080
GO:0048544	S.CEREALE.LO7.r2.1RG00003080
GO:0048544	S.CEREALE.LO7.r2.1RG00003090
GO:0004672	S.CEREALE.LO7.r2.1RG00003110
GO:0005524	S.CEREALE.LO7.r2.1RG00003110
GO:0006468	S.CEREALE.LO7.r2.1RG00003110
GO:0004672	S.CEREALE.LO7.r2.1RG00003120
GO:0005524	S.CEREALE.LO7.r2.1RG00003120
GO:0006468	S.CEREALE.LO7.r2.1RG00003120
GO:0048544	S.CEREALE.LO7.r2.1RG00003120
GO:0004672	S.CEREALE.LO7.r2.1RG00003130
GO:0005524	S.CEREALE.LO7.r2.1RG00003130
GO:0006468	S.CEREALE.LO7.r2.1RG00003130
GO:0048544	S.CEREALE.LO7.r2.1RG00003130
GO:0015074	S.CEREALE.LO7.r2.1RG00003140
GO:0004672	S.CEREALE.LO7.r2.1RG00003150
GO:0005524	S.CEREALE.LO7.r2.1RG00003150
GO:0006468	S.CEREALE.LO7.r2.1RG00003150
GO:0048544	S.CEREALE.LO7.r2.1RG00003150
GO:0015297	S.CEREALE.LO7.r2.1RG00003240
GO:0016020	S.CEREALE.LO7.r2.1RG00003240
GO:0042910	S.CEREALE.LO7.r2.1RG00003240
GO:0055085	S.CEREALE.LO7.r2.1RG00003240
GO:0043531	S.CEREALE.LO7.r2.1RG00003280
GO:0005515	S.CEREALE.LO7.r2.1RG00003300
GO:0004842	S.CEREALE.LO7.r2.1RG00003310
GO:0016567	S.CEREALE.LO7.r2.1RG00003310
GO:0004842	S.CEREALE.LO7.r2.1RG00003320
GO:0016567	S.CEREALE.LO7.r2.1RG00003320
GO:0004842	S.CEREALE.LO7.r2.1RG00003330
GO:0016567	S.CEREALE.LO7.r2.1RG00003330
GO:0004842	S.CEREALE.LO7.r2.1RG00003340
GO:0016567	S.CEREALE.LO7.r2.1RG00003340
GO:0004842	S.CEREALE.LO7.r2.1RG00003350
GO:0016567	S.CEREALE.LO7.r2.1RG00003350
GO:0005515	S.CEREALE.LO7.r2.1RG00003360
GO:0004842	S.CEREALE.LO7.r2.1RG00003370
GO:0016567	S.CEREALE.LO7.r2.1RG00003370
GO:0005515	S.CEREALE.LO7.r2.1RG00003380
GO:0008757	S.CEREALE.LO7.r2.1RG00003440
GO:0009058	S.CEREALE.LO7.r2.1RG00003440
GO:0030170	S.CEREALE.LO7.r2.1RG00003440
GO:0004842	S.CEREALE.LO7.r2.1RG00003450
GO:0016567	S.CEREALE.LO7.r2.1RG00003450
GO:0005515	S.CEREALE.LO7.r2.1RG00003450
GO:0005515	S.CEREALE.LO7.r2.1RG00003490
GO:0003777	S.CEREALE.LO7.r2.1RG00003500
GO:0005524	S.CEREALE.LO7.r2.1RG00003500
GO:0007018	S.CEREALE.LO7.r2.1RG00003500
GO:0008017	S.CEREALE.LO7.r2.1RG00003500
GO:0043531	S.CEREALE.LO7.r2.1RG00003600
GO:0043531	S.CEREALE.LO7.r2.1RG00003620
GO:0005515	S.CEREALE.LO7.r2.1RG00003640
GO:0003677	S.CEREALE.LO7.r2.1RG00003670
GO:0046983	S.CEREALE.LO7.r2.1RG00003670
GO:0043531	S.CEREALE.LO7.r2.1RG00003680
GO:0003676	S.CEREALE.LO7.r2.1RG00003710
GO:0006139	S.CEREALE.LO7.r2.1RG00003710
GO:0008408	S.CEREALE.LO7.r2.1RG00003710
GO:0006508	S.CEREALE.LO7.r2.1RG00003720
GO:0008234	S.CEREALE.LO7.r2.1RG00003720
GO:0003676	S.CEREALE.LO7.r2.1RG00003730
GO:0006139	S.CEREALE.LO7.r2.1RG00003730
GO:0008408	S.CEREALE.LO7.r2.1RG00003730
GO:0003676	S.CEREALE.LO7.r2.1RG00003740
GO:0006139	S.CEREALE.LO7.r2.1RG00003740
GO:0008408	S.CEREALE.LO7.r2.1RG00003740
GO:0004672	S.CEREALE.LO7.r2.1RG00003750
GO:0005524	S.CEREALE.LO7.r2.1RG00003750
GO:0006468	S.CEREALE.LO7.r2.1RG00003750
GO:0048544	S.CEREALE.LO7.r2.1RG00003750
GO:0005515	S.CEREALE.LO7.r2.1RG00003760
GO:0030247	S.CEREALE.LO7.r2.1RG00003780
GO:0004672	S.CEREALE.LO7.r2.1RG00003800
GO:0006468	S.CEREALE.LO7.r2.1RG00003800
GO:0004672	S.CEREALE.LO7.r2.1RG00003810
GO:0006468	S.CEREALE.LO7.r2.1RG00003810
GO:0003735	S.CEREALE.LO7.r2.1RG00003830
GO:0005840	S.CEREALE.LO7.r2.1RG00003830
GO:0006412	S.CEREALE.LO7.r2.1RG00003830
GO:0043531	S.CEREALE.LO7.r2.1RG00003870
GO:0004672	S.CEREALE.LO7.r2.1RG00003890
GO:0005524	S.CEREALE.LO7.r2.1RG00003890
GO:0006468	S.CEREALE.LO7.r2.1RG00003890
GO:0043531	S.CEREALE.LO7.r2.1RG00003910
GO:0005515	S.CEREALE.LO7.r2.1RG00003940
GO:0005515	S.CEREALE.LO7.r2.1RG00003950
GO:0005515	S.CEREALE.LO7.r2.1RG00004000
GO:0005515	S.CEREALE.LO7.r2.1RG00004050
GO:0043531	S.CEREALE.LO7.r2.1RG00004070
GO:0016020	S.CEREALE.LO7.r2.1RG00004120
GO:0016757	S.CEREALE.LO7.r2.1RG00004120
GO:0004867	S.CEREALE.LO7.r2.1RG00004190
GO:0009611	S.CEREALE.LO7.r2.1RG00004190
GO:0006508	S.CEREALE.LO7.r2.1RG00004230
GO:0008234	S.CEREALE.LO7.r2.1RG00004230
GO:0004497	S.CEREALE.LO7.r2.1RG00004240
GO:0005506	S.CEREALE.LO7.r2.1RG00004240
GO:0016705	S.CEREALE.LO7.r2.1RG00004240
GO:0020037	S.CEREALE.LO7.r2.1RG00004240
GO:0008299	S.CEREALE.LO7.r2.1RG00004250
GO:0003676	S.CEREALE.LO7.r2.1RG00004260
GO:0008270	S.CEREALE.LO7.r2.1RG00004260
GO:0005515	S.CEREALE.LO7.r2.1RG00004270
GO:0004553	S.CEREALE.LO7.r2.1RG00004430
GO:0071704	S.CEREALE.LO7.r2.1RG00004430
GO:0000413	S.CEREALE.LO7.r2.1RG00004500
GO:0003755	S.CEREALE.LO7.r2.1RG00004500
GO:0016702	S.CEREALE.LO7.r2.1RG00004600
GO:0004672	S.CEREALE.LO7.r2.1RG00004610
GO:0005524	S.CEREALE.LO7.r2.1RG00004610
GO:0006468	S.CEREALE.LO7.r2.1RG00004610
GO:0005515	S.CEREALE.LO7.r2.1RG00004620
GO:0007034	S.CEREALE.LO7.r2.1RG00004640
GO:0004672	S.CEREALE.LO7.r2.1RG00004660
GO:0005524	S.CEREALE.LO7.r2.1RG00004660
GO:0006468	S.CEREALE.LO7.r2.1RG00004660
GO:0016702	S.CEREALE.LO7.r2.1RG00004670
GO:0004672	S.CEREALE.LO7.r2.1RG00004690
GO:0005524	S.CEREALE.LO7.r2.1RG00004690
GO:0006468	S.CEREALE.LO7.r2.1RG00004690
GO:0005515	S.CEREALE.LO7.r2.1RG00004690
GO:0004672	S.CEREALE.LO7.r2.1RG00004710
GO:0005524	S.CEREALE.LO7.r2.1RG00004710
GO:0006468	S.CEREALE.LO7.r2.1RG00004710
GO:0005515	S.CEREALE.LO7.r2.1RG00004710
GO:0004672	S.CEREALE.LO7.r2.1RG00004740
GO:0005524	S.CEREALE.LO7.r2.1RG00004740
GO:0006468	S.CEREALE.LO7.r2.1RG00004740
GO:0005515	S.CEREALE.LO7.r2.1RG00004740
GO:0006508	S.CEREALE.LO7.r2.1RG00004770
GO:0008234	S.CEREALE.LO7.r2.1RG00004770
GO:0004672	S.CEREALE.LO7.r2.1RG00004780
GO:0005524	S.CEREALE.LO7.r2.1RG00004780
GO:0006468	S.CEREALE.LO7.r2.1RG00004780
GO:0005515	S.CEREALE.LO7.r2.1RG00004780
GO:0016702	S.CEREALE.LO7.r2.1RG00004810
GO:0004672	S.CEREALE.LO7.r2.1RG00004830
GO:0005524	S.CEREALE.LO7.r2.1RG00004830
GO:0006468	S.CEREALE.LO7.r2.1RG00004830
GO:0005515	S.CEREALE.LO7.r2.1RG00004830
GO:0016702	S.CEREALE.LO7.r2.1RG00004840
GO:0004672	S.CEREALE.LO7.r2.1RG00004860
GO:0005524	S.CEREALE.LO7.r2.1RG00004860
GO:0006468	S.CEREALE.LO7.r2.1RG00004860
GO:0005515	S.CEREALE.LO7.r2.1RG00004860
GO:0046982	S.CEREALE.LO7.r2.1RG00004930
GO:0006367	S.CEREALE.LO7.r2.1RG00004930
GO:0003676	S.CEREALE.LO7.r2.1RG00004970
GO:0003723	S.CEREALE.LO7.r2.1RG00004970
GO:0007034	S.CEREALE.LO7.r2.1RG00004980
GO:0007034	S.CEREALE.LO7.r2.1RG00004990
GO:0004672	S.CEREALE.LO7.r2.1RG00005000
GO:0005524	S.CEREALE.LO7.r2.1RG00005000
GO:0006468	S.CEREALE.LO7.r2.1RG00005000
GO:0005515	S.CEREALE.LO7.r2.1RG00005000
GO:0004672	S.CEREALE.LO7.r2.1RG00005020
GO:0005524	S.CEREALE.LO7.r2.1RG00005020
GO:0006468	S.CEREALE.LO7.r2.1RG00005020
GO:0004672	S.CEREALE.LO7.r2.1RG00005030
GO:0005524	S.CEREALE.LO7.r2.1RG00005030
GO:0006468	S.CEREALE.LO7.r2.1RG00005030
GO:0005515	S.CEREALE.LO7.r2.1RG00005030
GO:0004672	S.CEREALE.LO7.r2.1RG00005050
GO:0005524	S.CEREALE.LO7.r2.1RG00005050
GO:0006468	S.CEREALE.LO7.r2.1RG00005050
GO:0005515	S.CEREALE.LO7.r2.1RG00005050
GO:0003885	S.CEREALE.LO7.r2.1RG00005070
GO:0016020	S.CEREALE.LO7.r2.1RG00005070
GO:0050660	S.CEREALE.LO7.r2.1RG00005070
GO:0003885	S.CEREALE.LO7.r2.1RG00005080
GO:0016020	S.CEREALE.LO7.r2.1RG00005080
GO:0050660	S.CEREALE.LO7.r2.1RG00005080
GO:0006508	S.CEREALE.LO7.r2.1RG00005100
GO:0008234	S.CEREALE.LO7.r2.1RG00005100
GO:0043531	S.CEREALE.LO7.r2.1RG00005130
GO:0006508	S.CEREALE.LO7.r2.1RG00005140
GO:0008234	S.CEREALE.LO7.r2.1RG00005140
GO:0043531	S.CEREALE.LO7.r2.1RG00005150
GO:0016872	S.CEREALE.LO7.r2.1RG00005160
GO:0046983	S.CEREALE.LO7.r2.1RG00005180
GO:0006508	S.CEREALE.LO7.r2.1RG00005210
GO:0008234	S.CEREALE.LO7.r2.1RG00005210
GO:0043531	S.CEREALE.LO7.r2.1RG00005230
GO:0005515	S.CEREALE.LO7.r2.1RG00005270
GO:0004672	S.CEREALE.LO7.r2.1RG00005310
GO:0006468	S.CEREALE.LO7.r2.1RG00005310
GO:0006508	S.CEREALE.LO7.r2.1RG00005350
GO:0008234	S.CEREALE.LO7.r2.1RG00005350
GO:0003676	S.CEREALE.LO7.r2.1RG00005360
GO:0006139	S.CEREALE.LO7.r2.1RG00005360
GO:0008408	S.CEREALE.LO7.r2.1RG00005360
GO:0009691	S.CEREALE.LO7.r2.1RG00005380
GO:0016787	S.CEREALE.LO7.r2.1RG00005380
GO:0005739	S.CEREALE.LO7.r2.1RG00005390
GO:0032780	S.CEREALE.LO7.r2.1RG00005390
GO:0042030	S.CEREALE.LO7.r2.1RG00005390
GO:0005739	S.CEREALE.LO7.r2.1RG00005460
GO:0032780	S.CEREALE.LO7.r2.1RG00005460
GO:0042030	S.CEREALE.LO7.r2.1RG00005460
GO:0004601	S.CEREALE.LO7.r2.1RG00005510
GO:0006979	S.CEREALE.LO7.r2.1RG00005510
GO:0020037	S.CEREALE.LO7.r2.1RG00005510
GO:0043531	S.CEREALE.LO7.r2.1RG00005540
GO:0043531	S.CEREALE.LO7.r2.1RG00005550
GO:0043531	S.CEREALE.LO7.r2.1RG00005560
GO:0031047	S.CEREALE.LO7.r2.1RG00005570
GO:0043531	S.CEREALE.LO7.r2.1RG00005580
GO:0043531	S.CEREALE.LO7.r2.1RG00005590
GO:0005739	S.CEREALE.LO7.r2.1RG00005600
GO:0032780	S.CEREALE.LO7.r2.1RG00005600
GO:0042030	S.CEREALE.LO7.r2.1RG00005600
GO:0008061	S.CEREALE.LO7.r2.1RG00005720
GO:0008061	S.CEREALE.LO7.r2.1RG00005730
GO:0008061	S.CEREALE.LO7.r2.1RG00005740
GO:0043531	S.CEREALE.LO7.r2.1RG00005790
GO:0016787	S.CEREALE.LO7.r2.1RG00005800
GO:0016746	S.CEREALE.LO7.r2.1RG00005810
GO:0016787	S.CEREALE.LO7.r2.1RG00005820
GO:0016746	S.CEREALE.LO7.r2.1RG00005830
GO:0016787	S.CEREALE.LO7.r2.1RG00005840
GO:0016746	S.CEREALE.LO7.r2.1RG00005860
