# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
S.CEREALE.LO7.r2.1RG00003810	S.CEREALE.LO7.r2.1RG00003810	S.CEREALE.LO7.r2.1RG00003810.1	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00003810	S.CEREALE.LO7.r2.1RG00003810	S.CEREALE.LO7.r2.1RG00003810.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00003820	S.CEREALE.LO7.r2.1RG00003820	S.CEREALE.LO7.r2.1RG00003820.1	protein_coding	0	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0
S.CEREALE.LO7.r2.1RG00003830	S.CEREALE.LO7.r2.1RG00003830	S.CEREALE.LO7.r2.1RG00003830.1	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00003840	S.CEREALE.LO7.r2.1RG00003840	S.CEREALE.LO7.r2.1RG00003840.1	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00003850	S.CEREALE.LO7.r2.1RG00003850	S.CEREALE.LO7.r2.1RG00003850.1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
S.CEREALE.LO7.r2.1RG00003860	S.CEREALE.LO7.r2.1RG00003860	S.CEREALE.LO7.r2.1RG00003860.1	protein_coding	0	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00003860	S.CEREALE.LO7.r2.1RG00003860	S.CEREALE.LO7.r2.1RG00003860.2	protein_coding	0	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00004000	S.CEREALE.LO7.r2.1RG00004000	S.CEREALE.LO7.r2.1RG00004000.1	protein_coding	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
S.CEREALE.LO7.r2.1RG00004030	S.CEREALE.LO7.r2.1RG00004030	S.CEREALE.LO7.r2.1RG00004030.1	protein_coding	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00004040	S.CEREALE.LO7.r2.1RG00004040	S.CEREALE.LO7.r2.1RG00004040.1	protein_coding	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00004050	S.CEREALE.LO7.r2.1RG00004050	S.CEREALE.LO7.r2.1RG00004050.1	protein_coding	0	4	1	15	0	0	0	9	0	6	1	0	0	0	0	0	0	0	4	0
S.CEREALE.LO7.r2.1RG00004060	S.CEREALE.LO7.r2.1RG00004060	S.CEREALE.LO7.r2.1RG00004060.1	protein_coding	0	3	6	11	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	11
S.CEREALE.LO7.r2.1RG00004070	S.CEREALE.LO7.r2.1RG00004070	S.CEREALE.LO7.r2.1RG00004070.1	protein_coding	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00004960	S.CEREALE.LO7.r2.1RG00004960	S.CEREALE.LO7.r2.1RG00004960.1	protein_coding	0	4	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0
S.CEREALE.LO7.r2.1RG00004970	S.CEREALE.LO7.r2.1RG00004970	S.CEREALE.LO7.r2.1RG00004970.1	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00004970	S.CEREALE.LO7.r2.1RG00004970	S.CEREALE.LO7.r2.1RG00004970.2	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00004970	S.CEREALE.LO7.r2.1RG00004970	S.CEREALE.LO7.r2.1RG00004970.3	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00005270	S.CEREALE.LO7.r2.1RG00005270	S.CEREALE.LO7.r2.1RG00005270.1	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
S.CEREALE.LO7.r2.1RG00005270	S.CEREALE.LO7.r2.1RG00005270	S.CEREALE.LO7.r2.1RG00005270.2	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
S.CEREALE.LO7.r2.1RG00005710	S.CEREALE.LO7.r2.1RG00005710	S.CEREALE.LO7.r2.1RG00005710.1	protein_coding	0	6	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0
S.CEREALE.LO7.r2.1RG00005750	S.CEREALE.LO7.r2.1RG00005750	S.CEREALE.LO7.r2.1RG00005750.1	protein_coding	0	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0
S.CEREALE.LO7.r2.1RG00005820	S.CEREALE.LO7.r2.1RG00005820	S.CEREALE.LO7.r2.1RG00005820.1	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00006080	S.CEREALE.LO7.r2.1RG00006080	S.CEREALE.LO7.r2.1RG00006080.1	protein_coding	0	7	3	4	0	1	4	0	0	0	3	0	0	0	0	0	0	0	6	0
S.CEREALE.LO7.r2.1RG00006090	S.CEREALE.LO7.r2.1RG00006090	S.CEREALE.LO7.r2.1RG00006090.1	protein_coding	0	9	2	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	9	0
S.CEREALE.LO7.r2.1RG00006100	S.CEREALE.LO7.r2.1RG00006100	S.CEREALE.LO7.r2.1RG00006100.1	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
S.CEREALE.LO7.r2.1RG00006210	S.CEREALE.LO7.r2.1RG00006210	S.CEREALE.LO7.r2.1RG00006210.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
S.CEREALE.LO7.r2.1RG00006220	S.CEREALE.LO7.r2.1RG00006220	S.CEREALE.LO7.r2.1RG00006220.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
S.CEREALE.LO7.r2.1RG00006370	S.CEREALE.LO7.r2.1RG00006370	S.CEREALE.LO7.r2.1RG00006370.1	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00006380	S.CEREALE.LO7.r2.1RG00006380	S.CEREALE.LO7.r2.1RG00006380.1	protein_coding	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
S.CEREALE.LO7.r2.1RG00006390	S.CEREALE.LO7.r2.1RG00006390	S.CEREALE.LO7.r2.1RG00006390.1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
S.CEREALE.LO7.r2.1RG00006890	S.CEREALE.LO7.r2.1RG00006890	S.CEREALE.LO7.r2.1RG00006890.1	protein_coding	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
S.CEREALE.LO7.r2.1RG00006900	S.CEREALE.LO7.r2.1RG00006900	S.CEREALE.LO7.r2.1RG00006900.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
S.CEREALE.LO7.r2.1RG00006970	S.CEREALE.LO7.r2.1RG00006970	S.CEREALE.LO7.r2.1RG00006970.1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
S.CEREALE.LO7.r2.1RG00006980	S.CEREALE.LO7.r2.1RG00006980	S.CEREALE.LO7.r2.1RG00006980.1	protein_coding	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0
S.CEREALE.LO7.r2.1RG00006990	S.CEREALE.LO7.r2.1RG00006990	S.CEREALE.LO7.r2.1RG00006990.1	protein_coding	0	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00007320	S.CEREALE.LO7.r2.1RG00007320	S.CEREALE.LO7.r2.1RG00007320.1	protein_coding	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
S.CEREALE.LO7.r2.1RG00007320	S.CEREALE.LO7.r2.1RG00007320	S.CEREALE.LO7.r2.1RG00007320.2	protein_coding	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
S.CEREALE.LO7.r2.1RG00007330	S.CEREALE.LO7.r2.1RG00007330	S.CEREALE.LO7.r2.1RG00007330.1	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
S.CEREALE.LO7.r2.1RG00007430	S.CEREALE.LO7.r2.1RG00007430	S.CEREALE.LO7.r2.1RG00007430.1	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00007440	S.CEREALE.LO7.r2.1RG00007440	S.CEREALE.LO7.r2.1RG00007440.1	protein_coding	0	0	1	4	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00007450	S.CEREALE.LO7.r2.1RG00007450	S.CEREALE.LO7.r2.1RG00007450.1	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00007540	S.CEREALE.LO7.r2.1RG00007540	S.CEREALE.LO7.r2.1RG00007540.1	protein_coding	0	2	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0
S.CEREALE.LO7.r2.1RG00007560	S.CEREALE.LO7.r2.1RG00007560	S.CEREALE.LO7.r2.1RG00007560.1	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
S.CEREALE.LO7.r2.1RG00007570	S.CEREALE.LO7.r2.1RG00007570	S.CEREALE.LO7.r2.1RG00007570.1	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00007570	S.CEREALE.LO7.r2.1RG00007570	S.CEREALE.LO7.r2.1RG00007570.2	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00007740	S.CEREALE.LO7.r2.1RG00007740	S.CEREALE.LO7.r2.1RG00007740.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00007740	S.CEREALE.LO7.r2.1RG00007740	S.CEREALE.LO7.r2.1RG00007740.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00007750	S.CEREALE.LO7.r2.1RG00007750	S.CEREALE.LO7.r2.1RG00007750.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
S.CEREALE.LO7.r2.1RG00007840	S.CEREALE.LO7.r2.1RG00007840	S.CEREALE.LO7.r2.1RG00007840.1	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00007950	S.CEREALE.LO7.r2.1RG00007950	S.CEREALE.LO7.r2.1RG00007950.1	protein_coding	1	0	1	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00008460	S.CEREALE.LO7.r2.1RG00008460	S.CEREALE.LO7.r2.1RG00008460.1	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00008470	S.CEREALE.LO7.r2.1RG00008470	S.CEREALE.LO7.r2.1RG00008470.1	protein_coding	0	1	0	3	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00008480	S.CEREALE.LO7.r2.1RG00008480	S.CEREALE.LO7.r2.1RG00008480.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
S.CEREALE.LO7.r2.1RG00008490	S.CEREALE.LO7.r2.1RG00008490	S.CEREALE.LO7.r2.1RG00008490.1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
S.CEREALE.LO7.r2.1RG00008610	S.CEREALE.LO7.r2.1RG00008610	S.CEREALE.LO7.r2.1RG00008610.1	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00008690	S.CEREALE.LO7.r2.1RG00008690	S.CEREALE.LO7.r2.1RG00008690.1	protein_coding	0	7	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0
S.CEREALE.LO7.r2.1RG00008730	S.CEREALE.LO7.r2.1RG00008730	S.CEREALE.LO7.r2.1RG00008730.1	protein_coding	0	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0
S.CEREALE.LO7.r2.1RG00008740	S.CEREALE.LO7.r2.1RG00008740	S.CEREALE.LO7.r2.1RG00008740.1	protein_coding	0	2	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0
S.CEREALE.LO7.r2.1RG00008750	S.CEREALE.LO7.r2.1RG00008750	S.CEREALE.LO7.r2.1RG00008750.1	protein_coding	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
S.CEREALE.LO7.r2.1RG00008760	S.CEREALE.LO7.r2.1RG00008760	S.CEREALE.LO7.r2.1RG00008760.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00008850	S.CEREALE.LO7.r2.1RG00008850	S.CEREALE.LO7.r2.1RG00008850.1	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00008850	S.CEREALE.LO7.r2.1RG00008850	S.CEREALE.LO7.r2.1RG00008850.2	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00008860	S.CEREALE.LO7.r2.1RG00008860	S.CEREALE.LO7.r2.1RG00008860.1	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00008860	S.CEREALE.LO7.r2.1RG00008860	S.CEREALE.LO7.r2.1RG00008860.2	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00009460	S.CEREALE.LO7.r2.1RG00009460	S.CEREALE.LO7.r2.1RG00009460.1	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00009490	S.CEREALE.LO7.r2.1RG00009490	S.CEREALE.LO7.r2.1RG00009490.1	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00009490	S.CEREALE.LO7.r2.1RG00009490	S.CEREALE.LO7.r2.1RG00009490.2	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00009570	S.CEREALE.LO7.r2.1RG00009570	S.CEREALE.LO7.r2.1RG00009570.1	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
S.CEREALE.LO7.r2.1RG00009700	S.CEREALE.LO7.r2.1RG00009700	S.CEREALE.LO7.r2.1RG00009700.1	protein_coding	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00009710	S.CEREALE.LO7.r2.1RG00009710	S.CEREALE.LO7.r2.1RG00009710.1	protein_coding	0	5	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	5	0
S.CEREALE.LO7.r2.1RG00009740	S.CEREALE.LO7.r2.1RG00009740	S.CEREALE.LO7.r2.1RG00009740.1	protein_coding	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0
S.CEREALE.LO7.r2.1RG00009750	S.CEREALE.LO7.r2.1RG00009750	S.CEREALE.LO7.r2.1RG00009750.1	protein_coding	0	2	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0
S.CEREALE.LO7.r2.1RG00009770	S.CEREALE.LO7.r2.1RG00009770	S.CEREALE.LO7.r2.1RG00009770.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
S.CEREALE.LO7.r2.1RG00009780	S.CEREALE.LO7.r2.1RG00009780	S.CEREALE.LO7.r2.1RG00009780.1	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00009810	S.CEREALE.LO7.r2.1RG00009810	S.CEREALE.LO7.r2.1RG00009810.1	protein_coding	0	4	4	5	0	0	0	5	0	0	4	0	0	0	0	0	0	0	4	0
S.CEREALE.LO7.r2.1RG00009810	S.CEREALE.LO7.r2.1RG00009810	S.CEREALE.LO7.r2.1RG00009810.2	protein_coding	0	4	4	5	0	0	0	5	0	0	4	0	0	0	0	0	0	0	4	0
S.CEREALE.LO7.r2.1RG00009820	S.CEREALE.LO7.r2.1RG00009820	S.CEREALE.LO7.r2.1RG00009820.1	protein_coding	0	0	0	13	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	5
S.CEREALE.LO7.r2.1RG00009830	S.CEREALE.LO7.r2.1RG00009830	S.CEREALE.LO7.r2.1RG00009830.1	protein_coding	0	1	4	8	0	0	0	8	0	0	4	0	0	0	0	0	0	0	1	0
S.CEREALE.LO7.r2.1RG00009860	S.CEREALE.LO7.r2.1RG00009860	S.CEREALE.LO7.r2.1RG00009860.1	protein_coding	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00009900	S.CEREALE.LO7.r2.1RG00009900	S.CEREALE.LO7.r2.1RG00009900.1	protein_coding	0	3	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	3	0
S.CEREALE.LO7.r2.1RG00009990	S.CEREALE.LO7.r2.1RG00009990	S.CEREALE.LO7.r2.1RG00009990.1	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
S.CEREALE.LO7.r2.1RG00010190	S.CEREALE.LO7.r2.1RG00010190	S.CEREALE.LO7.r2.1RG00010190.1	protein_coding	0	4	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0
S.CEREALE.LO7.r2.1RG00010310	S.CEREALE.LO7.r2.1RG00010310	S.CEREALE.LO7.r2.1RG00010310.1	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
S.CEREALE.LO7.r2.1RG00010320	S.CEREALE.LO7.r2.1RG00010320	S.CEREALE.LO7.r2.1RG00010320.1	protein_coding	0	5	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	5	0
S.CEREALE.LO7.r2.1RG00011020	S.CEREALE.LO7.r2.1RG00011020	S.CEREALE.LO7.r2.1RG00011020.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
S.CEREALE.LO7.r2.1RG00011060	S.CEREALE.LO7.r2.1RG00011060	S.CEREALE.LO7.r2.1RG00011060.1	protein_coding	0	3	0	6	0	0	0	0	0	7	0	0	0	1	0	0	0	0	2	0
S.CEREALE.LO7.r2.1RG00011060	S.CEREALE.LO7.r2.1RG00011060	S.CEREALE.LO7.r2.1RG00011060.2	protein_coding	0	3	0	6	0	0	0	0	0	7	0	0	0	1	0	0	0	0	2	0
S.CEREALE.LO7.r2.1RG00011090	S.CEREALE.LO7.r2.1RG00011090	S.CEREALE.LO7.r2.1RG00011090.1	protein_coding	0	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0
S.CEREALE.LO7.r2.1RG00011130	S.CEREALE.LO7.r2.1RG00011130	S.CEREALE.LO7.r2.1RG00011130.1	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
S.CEREALE.LO7.r2.1RG00011260	S.CEREALE.LO7.r2.1RG00011260	S.CEREALE.LO7.r2.1RG00011260.1	protein_coding	0	2	0	5	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0
S.CEREALE.LO7.r2.1RG00011450	S.CEREALE.LO7.r2.1RG00011450	S.CEREALE.LO7.r2.1RG00011450.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
